Training RetinaNet-ResNet50, FPN_MODE=custom, 640px, 30 epochs
/home/aarav/attack_env/lib/python3.12/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'backbone_name' as positional parameter(s) is deprecated since 0.13 and may be removed in the future. Please use keyword parameter(s) instead.
  warnings.warn(
  ep1/30 it0/809 loss 1.951 lr 0.00000
  ep1/30 it50/809 loss 1.995 lr 0.00010
  ep1/30 it100/809 loss 1.995 lr 0.00020
  ep1/30 it150/809 loss 1.868 lr 0.00030
  ep1/30 it200/809 loss 1.923 lr 0.00040
  ep1/30 it250/809 loss 1.827 lr 0.00050
  ep1/30 it300/809 loss 1.854 lr 0.00060
  ep1/30 it350/809 loss 1.471 lr 0.00070
  ep1/30 it400/809 loss 1.362 lr 0.00080
  ep1/30 it450/809 loss 1.367 lr 0.00090
  ep1/30 it500/809 loss 1.328 lr 0.00100
  ep1/30 it550/809 loss 1.272 lr 0.00100
  ep1/30 it600/809 loss 1.171 lr 0.00100
  ep1/30 it650/809 loss 1.139 lr 0.00100
  ep1/30 it700/809 loss 1.115 lr 0.00100
  ep1/30 it750/809 loss 0.943 lr 0.00100
  ep1/30 it800/809 loss 1.144 lr 0.00100
Epoch 1 done, avg loss 1.505
  ep2/30 it0/809 loss 1.125 lr 0.00100
  ep2/30 it50/809 loss 0.835 lr 0.00100
  ep2/30 it100/809 loss 0.947 lr 0.00100
  ep2/30 it150/809 loss 1.117 lr 0.00100
  ep2/30 it200/809 loss 1.045 lr 0.00100
  ep2/30 it250/809 loss 1.025 lr 0.00100
  ep2/30 it300/809 loss 0.925 lr 0.00100
  ep2/30 it350/809 loss 0.915 lr 0.00100
  ep2/30 it400/809 loss 0.953 lr 0.00100
  ep2/30 it450/809 loss 0.900 lr 0.00100
  ep2/30 it500/809 loss 1.050 lr 0.00100
  ep2/30 it550/809 loss 0.777 lr 0.00100
  ep2/30 it600/809 loss 1.019 lr 0.00100
  ep2/30 it650/809 loss 0.946 lr 0.00100
  ep2/30 it700/809 loss 0.936 lr 0.00100
  ep2/30 it750/809 loss 0.811 lr 0.00100
  ep2/30 it800/809 loss 0.945 lr 0.00100
Epoch 2 done, avg loss 0.948
  ep3/30 it0/809 loss 0.799 lr 0.00099
  ep3/30 it50/809 loss 0.836 lr 0.00099
  ep3/30 it100/809 loss 0.845 lr 0.00099
  ep3/30 it150/809 loss 0.875 lr 0.00099
  ep3/30 it200/809 loss 0.777 lr 0.00099
  ep3/30 it250/809 loss 0.771 lr 0.00099
  ep3/30 it300/809 loss 0.935 lr 0.00099
  ep3/30 it350/809 loss 0.899 lr 0.00099
  ep3/30 it400/809 loss 0.787 lr 0.00099
  ep3/30 it450/809 loss 0.820 lr 0.00099
  ep3/30 it500/809 loss 0.805 lr 0.00099
  ep3/30 it550/809 loss 0.795 lr 0.00099
  ep3/30 it600/809 loss 0.694 lr 0.00099
  ep3/30 it650/809 loss 0.755 lr 0.00099
  ep3/30 it700/809 loss 0.651 lr 0.00099
  ep3/30 it750/809 loss 0.793 lr 0.00099
  ep3/30 it800/809 loss 0.718 lr 0.00099
Epoch 3 done, avg loss 0.821
  ep4/30 it0/809 loss 0.911 lr 0.00098
  ep4/30 it50/809 loss 0.687 lr 0.00098
  ep4/30 it100/809 loss 0.823 lr 0.00098
  ep4/30 it150/809 loss 0.937 lr 0.00098
  ep4/30 it200/809 loss 0.757 lr 0.00098
  ep4/30 it250/809 loss 0.684 lr 0.00098
  ep4/30 it300/809 loss 0.859 lr 0.00098
  ep4/30 it350/809 loss 0.859 lr 0.00098
  ep4/30 it400/809 loss 0.690 lr 0.00098
  ep4/30 it450/809 loss 0.728 lr 0.00098
  ep4/30 it500/809 loss 0.687 lr 0.00098
  ep4/30 it550/809 loss 0.692 lr 0.00098
  ep4/30 it600/809 loss 0.823 lr 0.00098
  ep4/30 it650/809 loss 0.864 lr 0.00098
  ep4/30 it700/809 loss 0.676 lr 0.00098
  ep4/30 it750/809 loss 0.698 lr 0.00098
  ep4/30 it800/809 loss 0.645 lr 0.00098
Epoch 4 done, avg loss 0.759
  ep5/30 it0/809 loss 0.750 lr 0.00096
  ep5/30 it50/809 loss 0.591 lr 0.00096
  ep5/30 it100/809 loss 0.692 lr 0.00096
  ep5/30 it150/809 loss 0.986 lr 0.00096
  ep5/30 it200/809 loss 0.694 lr 0.00096
  ep5/30 it250/809 loss 0.803 lr 0.00096
  ep5/30 it300/809 loss 0.489 lr 0.00096
  ep5/30 it350/809 loss 0.812 lr 0.00096
  ep5/30 it400/809 loss 0.679 lr 0.00096
  ep5/30 it450/809 loss 0.614 lr 0.00096
  ep5/30 it500/809 loss 0.773 lr 0.00096
  ep5/30 it550/809 loss 0.644 lr 0.00096
  ep5/30 it600/809 loss 0.644 lr 0.00096
  ep5/30 it650/809 loss 0.609 lr 0.00096
  ep5/30 it700/809 loss 0.670 lr 0.00096
  ep5/30 it750/809 loss 0.663 lr 0.00096
  ep5/30 it800/809 loss 0.738 lr 0.00096
Epoch 5 done, avg loss 0.718
  ep6/30 it0/809 loss 0.696 lr 0.00093
  ep6/30 it50/809 loss 0.667 lr 0.00093
  ep6/30 it100/809 loss 0.398 lr 0.00093
  ep6/30 it150/809 loss 0.526 lr 0.00093
  ep6/30 it200/809 loss 0.852 lr 0.00093
  ep6/30 it250/809 loss 0.717 lr 0.00093
  ep6/30 it300/809 loss 0.738 lr 0.00093
  ep6/30 it350/809 loss 0.636 lr 0.00093
  ep6/30 it400/809 loss 0.700 lr 0.00093
  ep6/30 it450/809 loss 0.593 lr 0.00093
  ep6/30 it500/809 loss 0.683 lr 0.00093
  ep6/30 it550/809 loss 0.661 lr 0.00093
  ep6/30 it600/809 loss 0.737 lr 0.00093
  ep6/30 it650/809 loss 0.649 lr 0.00093
  ep6/30 it700/809 loss 0.765 lr 0.00093
  ep6/30 it750/809 loss 0.744 lr 0.00093
  ep6/30 it800/809 loss 0.731 lr 0.00093
Epoch 6 done, avg loss 0.688
  ep7/30 it0/809 loss 0.714 lr 0.00090
  ep7/30 it50/809 loss 0.731 lr 0.00090
  ep7/30 it100/809 loss 0.733 lr 0.00090
  ep7/30 it150/809 loss 0.564 lr 0.00090
  ep7/30 it200/809 loss 0.642 lr 0.00090
  ep7/30 it250/809 loss 0.633 lr 0.00090
  ep7/30 it300/809 loss 0.749 lr 0.00090
  ep7/30 it350/809 loss 0.597 lr 0.00090
  ep7/30 it400/809 loss 0.675 lr 0.00090
  ep7/30 it450/809 loss 0.665 lr 0.00090
  ep7/30 it500/809 loss 0.531 lr 0.00090
  ep7/30 it550/809 loss 0.722 lr 0.00090
  ep7/30 it600/809 loss 0.646 lr 0.00090
  ep7/30 it650/809 loss 0.668 lr 0.00090
  ep7/30 it700/809 loss 0.673 lr 0.00090
  ep7/30 it750/809 loss 0.570 lr 0.00090
  ep7/30 it800/809 loss 0.621 lr 0.00090
Epoch 7 done, avg loss 0.665
  ep8/30 it0/809 loss 0.648 lr 0.00087
  ep8/30 it50/809 loss 0.677 lr 0.00087
  ep8/30 it100/809 loss 0.653 lr 0.00087
  ep8/30 it150/809 loss 0.539 lr 0.00087
  ep8/30 it200/809 loss 0.703 lr 0.00087
  ep8/30 it250/809 loss 0.707 lr 0.00087
  ep8/30 it300/809 loss 0.657 lr 0.00087
  ep8/30 it350/809 loss 0.689 lr 0.00087
  ep8/30 it400/809 loss 0.670 lr 0.00087
  ep8/30 it450/809 loss 0.727 lr 0.00087
  ep8/30 it500/809 loss 0.572 lr 0.00087
  ep8/30 it550/809 loss 0.723 lr 0.00087
  ep8/30 it600/809 loss 0.607 lr 0.00087
  ep8/30 it650/809 loss 0.688 lr 0.00087
  ep8/30 it700/809 loss 0.682 lr 0.00087
  ep8/30 it750/809 loss 0.602 lr 0.00087
  ep8/30 it800/809 loss 0.751 lr 0.00087
Epoch 8 done, avg loss 0.644
  ep9/30 it0/809 loss 0.610 lr 0.00083
  ep9/30 it50/809 loss 0.605 lr 0.00083
  ep9/30 it100/809 loss 0.748 lr 0.00083
  ep9/30 it150/809 loss 0.668 lr 0.00083
  ep9/30 it200/809 loss 0.557 lr 0.00083
  ep9/30 it250/809 loss 0.601 lr 0.00083
  ep9/30 it300/809 loss 0.662 lr 0.00083
  ep9/30 it350/809 loss 0.507 lr 0.00083
  ep9/30 it400/809 loss 0.695 lr 0.00083
  ep9/30 it450/809 loss 0.622 lr 0.00083
  ep9/30 it500/809 loss 0.647 lr 0.00083
  ep9/30 it550/809 loss 0.634 lr 0.00083
  ep9/30 it600/809 loss 0.667 lr 0.00083
  ep9/30 it650/809 loss 0.621 lr 0.00083
  ep9/30 it700/809 loss 0.541 lr 0.00083
  ep9/30 it750/809 loss 0.609 lr 0.00083
  ep9/30 it800/809 loss 0.470 lr 0.00083
Epoch 9 done, avg loss 0.626
  ep10/30 it0/809 loss 0.422 lr 0.00079
  ep10/30 it50/809 loss 0.489 lr 0.00079
  ep10/30 it100/809 loss 0.435 lr 0.00079
  ep10/30 it150/809 loss 0.510 lr 0.00079
  ep10/30 it200/809 loss 0.643 lr 0.00079
  ep10/30 it250/809 loss 0.500 lr 0.00079
  ep10/30 it300/809 loss 0.696 lr 0.00079
  ep10/30 it350/809 loss 0.691 lr 0.00079
  ep10/30 it400/809 loss 0.704 lr 0.00079
  ep10/30 it450/809 loss 0.556 lr 0.00079
  ep10/30 it500/809 loss 0.719 lr 0.00079
  ep10/30 it550/809 loss 0.657 lr 0.00079
  ep10/30 it600/809 loss 0.595 lr 0.00079
  ep10/30 it650/809 loss 0.703 lr 0.00079
  ep10/30 it700/809 loss 0.546 lr 0.00079
