=== exp_roof_030 | car->van | MODE=adversarial | AREA_FRAC=0.2 | IMG_SIZE=640 | ROT_DEG=20.0 | LR=0.03 | LOWER_TALL=0.6 | LOWER_WIDE=0.75 | ROOF_LEN=0.3 | ROOF_WID=0.7 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 1/160  total 11844.245  margin 4489.140  hinge 7353.900  tv 1.205  (4s)
  epoch 2/160  total 11780.929  margin 4463.621  hinge 7316.146  tv 1.162  (7s)
  epoch 3/160  total 11741.708  margin 4440.520  hinge 7300.091  tv 1.097  (11s)
  epoch 4/160  total 11689.176  margin 4416.652  hinge 7271.491  tv 1.033  (14s)
  epoch 5/160  total 11636.694  margin 4395.842  hinge 7239.875  tv 0.977  (17s)
  epoch 6/160  total 11604.884  margin 4377.470  hinge 7226.462  tv 0.952  (20s)
  epoch 7/160  total 11583.127  margin 4376.988  hinge 7205.217  tv 0.923  (23s)
  epoch 8/160  total 11576.351  margin 4371.593  hinge 7203.849  tv 0.909  (27s)
  epoch 9/160  total 11513.086  margin 4347.130  hinge 7165.064  tv 0.891  (30s)
  epoch 10/160  total 11513.560  margin 4360.925  hinge 7151.746  tv 0.889  (33s)
  epoch 11/160  total 11495.278  margin 4369.948  hinge 7124.453  tv 0.877  (36s)
  epoch 12/160  total 11480.346  margin 4393.644  hinge 7085.806  tv 0.895  (39s)
  epoch 13/160  total 11481.812  margin 4404.179  hinge 7076.734  tv 0.900  (42s)
  epoch 14/160  total 11434.000  margin 4398.161  hinge 7034.978  tv 0.860  (45s)
  epoch 15/160  total 11392.142  margin 4398.590  hinge 6992.697  tv 0.855  (48s)
  epoch 16/160  total 11370.940  margin 4392.542  hinge 6977.557  tv 0.841  (51s)
  epoch 17/160  total 11326.938  margin 4378.152  hinge 6947.969  tv 0.817  (54s)
  epoch 18/160  total 11330.846  margin 4386.156  hinge 6943.874  tv 0.817  (58s)
  epoch 19/160  total 11336.364  margin 4372.032  hinge 6963.521  tv 0.811  (61s)
  epoch 20/160  total 11303.976  margin 4378.679  hinge 6924.510  tv 0.787  (64s)
  epoch 21/160  total 11319.830  margin 4386.610  hinge 6932.431  tv 0.789  (67s)
  epoch 22/160  total 11288.345  margin 4380.229  hinge 6907.325  tv 0.791  (70s)
  epoch 23/160  total 11263.753  margin 4376.676  hinge 6886.306  tv 0.771  (73s)
  epoch 24/160  total 11256.349  margin 4383.532  hinge 6872.045  tv 0.771  (76s)
  epoch 25/160  total 11241.756  margin 4409.960  hinge 6831.027  tv 0.769  (79s)
  epoch 26/160  total 11183.484  margin 4401.851  hinge 6780.876  tv 0.757  (83s)
  epoch 27/160  total 11167.752  margin 4412.957  hinge 6754.061  tv 0.735  (86s)
  epoch 28/160  total 11191.738  margin 4437.554  hinge 6753.447  tv 0.737  (89s)
  epoch 29/160  total 11164.316  margin 4429.917  hinge 6733.659  tv 0.739  (92s)
  epoch 30/160  total 11172.415  margin 4457.770  hinge 6713.884  tv 0.761  (95s)
  epoch 31/160  total 11111.120  margin 4444.607  hinge 6665.769  tv 0.744  (98s)
  epoch 32/160  total 11072.989  margin 4441.297  hinge 6630.971  tv 0.721  (101s)
