=== s2n_center_05_e160 | car->van | MODE=adversarial | AREA_FRAC=0.05 | IMG_SIZE=640 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 1/160  total 11894.607  margin 4529.350  hinge 7364.098  tv 1.158  (4s)
  epoch 2/160  total 11867.115  margin 4512.919  hinge 7352.996  tv 1.200  (7s)
  epoch 3/160  total 11849.977  margin 4499.250  hinge 7349.556  tv 1.171  (10s)
  epoch 4/160  total 11816.583  margin 4489.500  hinge 7325.946  tv 1.137  (12s)
  epoch 5/160  total 11773.995  margin 4469.600  hinge 7303.298  tv 1.098  (15s)
  epoch 6/160  total 11727.485  margin 4451.041  hinge 7275.408  tv 1.036  (18s)
  epoch 7/160  total 11696.934  margin 4445.533  hinge 7250.418  tv 0.983  (21s)
  epoch 8/160  total 11678.541  margin 4439.574  hinge 7238.016  tv 0.952  (24s)
  epoch 9/160  total 11646.279  margin 4422.218  hinge 7223.135  tv 0.927  (27s)
  epoch 10/160  total 11650.867  margin 4420.876  hinge 7229.080  tv 0.911  (30s)
  epoch 11/160  total 11637.008  margin 4417.918  hinge 7218.189  tv 0.901  (32s)
  epoch 12/160  total 11628.460  margin 4416.356  hinge 7211.220  tv 0.883  (35s)
  epoch 13/160  total 11632.192  margin 4411.359  hinge 7219.953  tv 0.881  (38s)
  epoch 14/160  total 11605.919  margin 4405.028  hinge 7200.029  tv 0.863  (41s)
  epoch 15/160  total 11594.903  margin 4402.175  hinge 7191.875  tv 0.852  (43s)
  epoch 16/160  total 11603.373  margin 4406.747  hinge 7195.765  tv 0.861  (46s)
  epoch 17/160  total 11581.930  margin 4394.434  hinge 7186.646  tv 0.851  (49s)
  epoch 18/160  total 11595.462  margin 4404.190  hinge 7190.426  tv 0.847  (52s)
  epoch 19/160  total 11586.880  margin 4400.069  hinge 7185.971  tv 0.840  (55s)
  epoch 20/160  total 11587.395  margin 4401.605  hinge 7184.943  tv 0.847  (58s)
  epoch 21/160  total 11603.038  margin 4406.181  hinge 7196.021  tv 0.837  (60s)
  epoch 22/160  total 11584.052  margin 4392.859  hinge 7190.367  tv 0.827  (63s)
  epoch 23/160  total 11571.183  margin 4388.408  hinge 7181.953  tv 0.822  (66s)
  epoch 24/160  total 11576.528  margin 4391.176  hinge 7184.523  tv 0.830  (69s)
  epoch 25/160  total 11593.307  margin 4406.469  hinge 7186.002  tv 0.836  (72s)
  epoch 26/160  total 11597.820  margin 4400.959  hinge 7196.016  tv 0.845  (74s)
  epoch 27/160  total 11588.838  margin 4400.290  hinge 7187.707  tv 0.842  (77s)
  epoch 28/160  total 11591.352  margin 4398.124  hinge 7192.402  tv 0.826  (80s)
  epoch 29/160  total 11585.591  margin 4401.431  hinge 7183.336  tv 0.824  (83s)
  epoch 30/160  total 11578.334  margin 4394.535  hinge 7182.977  tv 0.821  (85s)
  epoch 31/160  total 11563.942  margin 4391.717  hinge 7171.410  tv 0.816  (88s)
  epoch 32/160  total 11581.765  margin 4397.761  hinge 7183.195  tv 0.809  (91s)
  epoch 33/160  total 11570.851  margin 4389.414  hinge 7180.627  tv 0.810  (94s)
  epoch 34/160  total 11570.795  margin 4392.148  hinge 7177.829  tv 0.818  (97s)
  epoch 35/160  total 11561.076  margin 4381.298  hinge 7178.968  tv 0.810  (100s)
  epoch 36/160  total 11571.213  margin 4395.024  hinge 7175.381  tv 0.808  (102s)
  epoch 37/160  total 11553.734  margin 4386.479  hinge 7166.450  tv 0.806  (105s)
  epoch 38/160  total 11561.118  margin 4387.761  hinge 7172.550  tv 0.807  (108s)
  epoch 39/160  total 11568.425  margin 4391.468  hinge 7176.163  tv 0.795  (111s)
  epoch 40/160  total 11568.030  margin 4390.463  hinge 7176.767  tv 0.799  (114s)
  epoch 41/160  total 11558.795  margin 4387.854  hinge 7170.142  tv 0.798  (116s)
  epoch 42/160  total 11572.447  margin 4392.430  hinge 7179.210  tv 0.807  (119s)
  epoch 43/160  total 11562.657  margin 4392.380  hinge 7169.471  tv 0.806  (122s)
  epoch 44/160  total 11555.559  margin 4386.488  hinge 7168.265  tv 0.806  (125s)
  epoch 45/160  total 11559.272  margin 4392.338  hinge 7166.133  tv 0.801  (128s)
  epoch 46/160  total 11560.783  margin 4388.200  hinge 7171.784  tv 0.798  (130s)
  epoch 47/160  total 11568.721  margin 4392.272  hinge 7175.631  tv 0.818  (133s)
  epoch 48/160  total 11557.826  margin 4386.068  hinge 7170.946  tv 0.812  (136s)
  epoch 49/160  total 11558.973  margin 4385.124  hinge 7173.042  tv 0.807  (139s)
  epoch 50/160  total 11564.483  margin 4389.160  hinge 7174.517  tv 0.807  (142s)
  epoch 51/160  total 11566.236  margin 4388.880  hinge 7176.539  tv 0.817  (144s)
  epoch 52/160  total 11554.627  margin 4382.455  hinge 7171.364  tv 0.809  (147s)
  epoch 53/160  total 11564.330  margin 4386.254  hinge 7177.269  tv 0.807  (150s)
  epoch 54/160  total 11556.544  margin 4386.596  hinge 7169.147  tv 0.801  (153s)
  epoch 55/160  total 11544.722  margin 4379.385  hinge 7164.545  tv 0.791  (156s)
  epoch 56/160  total 11553.444  margin 4382.589  hinge 7170.055  tv 0.800  (158s)
  epoch 57/160  total 11562.099  margin 4385.755  hinge 7175.540  tv 0.804  (161s)
  epoch 58/160  total 11563.358  margin 4386.872  hinge 7175.683  tv 0.803  (164s)
  epoch 59/160  total 11569.953  margin 4388.923  hinge 7180.219  tv 0.810  (167s)
  epoch 60/160  total 11552.243  margin 4380.501  hinge 7170.942  tv 0.800  (169s)
  epoch 61/160  total 11550.330  margin 4383.142  hinge 7166.405  tv 0.783  (172s)
  epoch 62/160  total 11566.917  margin 4388.059  hinge 7178.048  tv 0.809  (175s)
  epoch 63/160  total 11558.389  margin 4391.285  hinge 7166.305  tv 0.800  (178s)
  epoch 64/160  total 11558.957  margin 4393.490  hinge 7164.677  tv 0.790  (181s)
  epoch 65/160  total 11589.601  margin 4402.939  hinge 7185.855  tv 0.807  (183s)
  epoch 66/160  total 11550.990  margin 4380.281  hinge 7169.925  tv 0.784  (186s)
  epoch 67/160  total 11569.600  margin 4394.081  hinge 7174.736  tv 0.783  (189s)
  epoch 68/160  total 11552.751  margin 4386.312  hinge 7165.643  tv 0.797  (192s)
  epoch 69/160  total 11567.600  margin 4391.402  hinge 7175.393  tv 0.805  (195s)
  epoch 70/160  total 11562.640  margin 4389.096  hinge 7172.750  tv 0.794  (197s)
  epoch 71/160  total 11557.587  margin 4386.828  hinge 7169.975  tv 0.783  (200s)
